Target_Month,Employee_ID,Region_Code,Monthly_Target
2026-01-01 00:00:00,E1002,R06,588622.69
2026-01-01 00:00:00,E1003,R05,655330.7
2026-01-01 00:00:00,E1004,R04,307930.88
2026-01-01 00:00:00,E1005,R02,740925.77
2026-01-01 00:00:00,E1006,R02,333013.76
2026-01-01 00:00:00,E1007,R01,786943.96
2026-01-01 00:00:00,E1008,R06,758318.26
2026-01-01 00:00:00,E1009,R04,710684.05
2026-01-01 00:00:00,E1010,R05,273504.25
2026-01-01 00:00:00,E1011,R01,447033.43
2026-01-01 00:00:00,E1012,R06,421023.17
2026-01-01 00:00:00,E1013,R05,484088.66
2026-01-01 00:00:00,E1014,R02,306967.79
2026-01-01 00:00:00,E1015,R02,859022.58
2026-01-01 00:00:00,E1016,R02,609971.46
2026-01-01 00:00:00,E1017,R02,448590.8
2026-01-01 00:00:00,E1018,R04,508037.99
2026-01-01 00:00:00,E1019,R03,540681.65
2026-01-01 00:00:00,E1020,R02,640386.32
2026-01-01 00:00:00,E1021,R04,585191.63
2026-01-01 00:00:00,E1022,R01,847604.78
2026-01-01 00:00:00,E1023,R02,573026.26
2026-01-01 00:00:00,E1024,R02,894902.71
2026-01-01 00:00:00,E1025,R03,803426.22
2026-01-01 00:00:00,E1026,R05,385531.83
2026-01-01 00:00:00,E1027,R02,854886.89
2026-01-01 00:00:00,E1028,R04,325638.16
2026-01-01 00:00:00,E1029,R04,781342.31
2026-01-01 00:00:00,E1030,R01,497405.14
2026-01-01 00:00:00,E1031,R04,820683.31
2026-01-01 00:00:00,E1032,R02,814236.85
2026-01-01 00:00:00,E1033,R01,773851.51
2026-01-01 00:00:00,E1034,R06,763519.78
2026-01-01 00:00:00,E1035,R06,448041.44
2026-01-01 00:00:00,E1036,R05,302597.53
2026-01-01 00:00:00,E1037,R02,511937.12
2026-01-01 00:00:00,E1038,R01,362790.93
2026-01-01 00:00:00,E1039,R04,701718.21
2026-01-01 00:00:00,E1041,R01,474964.82
2026-01-01 00:00:00,E1042,R03,884146.63
2026-01-01 00:00:00,E1043,R01,666631.85
2026-01-01 00:00:00,E1044,R06,784612.37
2026-01-01 00:00:00,E1045,R02,336141.04
2026-01-01 00:00:00,E1046,R04,810309.41
2026-01-01 00:00:00,E1047,R02,849792.17
2026-01-01 00:00:00,E1048,R04,566590.25
2026-01-01 00:00:00,E1049,R04,644064.41
2026-01-01 00:00:00,E1050,R02,747126.37
2026-01-01 00:00:00,E1051,R06,363645.11
2026-01-01 00:00:00,E1052,R05,576667.95
2026-01-01 00:00:00,E1053,R06,509130.97
2026-01-01 00:00:00,E1054,R06,345143.09
2026-01-01 00:00:00,E1055,R04,488897.37
2026-01-01 00:00:00,E1056,R06,294312
2026-01-01 00:00:00,E1057,R01,266777.74
2026-01-01 00:00:00,E1058,R02,337858.09
2026-01-01 00:00:00,E1059,R01,876024.82
2026-01-01 00:00:00,E1060,R02,607194.2
2026-01-01 00:00:00,E1061,R03,877784.4
2026-01-01 00:00:00,E1062,R02,531123.62
2026-01-01 00:00:00,E1063,R05,452680.49
2026-01-01 00:00:00,E1064,R02,578992.21
2026-01-01 00:00:00,E1065,R02,535682.6
2026-01-01 00:00:00,E1066,R04,318682.04
2026-01-01 00:00:00,E1067,R01,666537.1
2026-01-01 00:00:00,E1068,R05,390424.82
2026-01-01 00:00:00,E1069,R01,652732.17
2026-01-01 00:00:00,E1070,R06,672630.71
2026-01-01 00:00:00,E1071,R05,348816.15
2026-01-01 00:00:00,E1072,R02,289877.26
2026-01-01 00:00:00,E1073,R01,757495.03
2026-01-01 00:00:00,E1074,R05,548870.28
2026-01-01 00:00:00,E1075,R05,287806.47
2026-01-01 00:00:00,E1076,R05,896663.11
2026-01-01 00:00:00,E1077,R05,287557.36
2026-01-01 00:00:00,E1078,R01,701772.9
2026-01-01 00:00:00,E1079,R02,889391.3
2026-01-01 00:00:00,E1080,R01,405467.07
2026-01-01 00:00:00,E1081,R06,342462.09
2026-01-01 00:00:00,E1082,R04,328900.21
2026-01-01 00:00:00,E1083,R02,447128.85
2026-01-01 00:00:00,E1084,R01,315679.78
2026-01-01 00:00:00,E1085,R02,699904.87
2026-01-01 00:00:00,E1086,R02,290489.67
2026-01-01 00:00:00,E1087,R05,581124.38
2026-01-01 00:00:00,E1088,R04,897852.96
2026-01-01 00:00:00,E1089,R06,779080.68
2026-01-01 00:00:00,E1090,R03,649892.63
2026-01-01 00:00:00,E1091,R01,449064.85
2026-01-01 00:00:00,E1092,R05,655532.29
2026-01-01 00:00:00,E1093,R05,592576.95
2026-01-01 00:00:00,E1094,R04,526954.2
2026-01-01 00:00:00,E1095,R05,334961.74
2026-01-01 00:00:00,E1096,R03,826292.74
2026-01-01 00:00:00,E1097,R04,542360.02
2026-01-01 00:00:00,E1098,R03,376504.63
2026-01-01 00:00:00,E1099,R01,489043.58
2026-01-01 00:00:00,E1100,R01,519184.34
2026-01-01 00:00:00,E1101,R01,787899.63
2026-01-01 00:00:00,E1102,R04,726849.35
2026-01-01 00:00:00,E1103,R02,750048.18
2026-01-01 00:00:00,E1104,R04,257170.32
2026-01-01 00:00:00,E1105,R06,520500.1
2026-01-01 00:00:00,E1106,R02,562873.7
2026-01-01 00:00:00,E1107,R03,262474.98
2026-01-01 00:00:00,E1108,R05,418878.59
2026-01-01 00:00:00,E1109,R02,744188.39
2026-01-01 00:00:00,E1110,R01,339121.31
2026-01-01 00:00:00,E1111,R02,597951.59
2026-01-01 00:00:00,E1112,R02,389881.22
2026-01-01 00:00:00,E1113,R06,257878.5
2026-01-01 00:00:00,E1114,R05,406780.95
2026-01-01 00:00:00,E1115,R04,884317.94
2026-01-01 00:00:00,E1116,R06,770999.12
2026-01-01 00:00:00,E1117,R05,873724.82
2026-01-01 00:00:00,E1118,R02,567105.13
2026-01-01 00:00:00,E1119,R06,321328.53
2026-01-01 00:00:00,E1120,R04,606173.67
2026-02-01 00:00:00,E1002,R06,545345.27
2026-02-01 00:00:00,E1003,R05,798832.1
2026-02-01 00:00:00,E1004,R04,313753.68
2026-02-01 00:00:00,E1005,R02,567356.74
2026-02-01 00:00:00,E1006,R02,347531.63
2026-02-01 00:00:00,E1007,R01,461039.35
2026-02-01 00:00:00,E1008,R06,729282.1
2026-02-01 00:00:00,E1009,R04,559411.78
2026-02-01 00:00:00,E1010,R05,494327.39
2026-02-01 00:00:00,E1011,R01,506409.58
2026-02-01 00:00:00,E1012,R06,548640.4
2026-02-01 00:00:00,E1013,R05,760260.75
2026-02-01 00:00:00,E1014,R02,829855.05
2026-02-01 00:00:00,E1015,R02,870967.55
